case_id	terminal	lifecycle	trust_resume_metadata	surface	boss_bridge	executable_health	expected_recovery	expected_recovery_prompt	expected_readiness	optimal_operator_outcome	optimal_boss_outcome
WB-0011	claude	configured	trusted_auto_session	sidebar_hidden_dashboard	not_registered	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0012	claude	configured	trusted_auto_session	sidebar_hidden_dashboard	not_registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0013	claude	configured	trusted_auto_session	sidebar_hidden_dashboard	needs_update	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0014	claude	configured	trusted_auto_session	sidebar_hidden_dashboard	needs_update	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0015	claude	configured	trusted_auto_session	sidebar_hidden_dashboard	agent_missing	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0016	claude	configured	trusted_auto_session	sidebar_hidden_dashboard	agent_missing	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0017	claude	configured	trusted_auto_session	boss_pane_collapsed	registered	available	noAction	false	attention	Operator can keep working with Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, native session metadata present. Workbench surfaces: Usable with watch points: boss watch is paused.	Selected Ouro boss can answer status questions and keep moving only where the next action is clear.
WB-0018	claude	configured	trusted_auto_session	boss_pane_collapsed	registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0019	claude	configured	trusted_auto_session	boss_pane_collapsed	not_registered	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0020	claude	configured	trusted_auto_session	boss_pane_collapsed	not_registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0021	claude	configured	trusted_auto_session	boss_pane_collapsed	needs_update	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0022	claude	configured	trusted_auto_session	boss_pane_collapsed	needs_update	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0023	claude	configured	trusted_auto_session	boss_pane_collapsed	agent_missing	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0024	claude	configured	trusted_auto_session	boss_pane_collapsed	agent_missing	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0025	claude	configured	trusted_auto_session	terminal_focus	registered	available	noAction	false	ready	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, native session metadata present. Controls stay available and no human gate is invented.	Selected Ouro boss can inspect, summarize, and control the Claude Code terminal session through Workbench MCP.
WB-0026	claude	configured	trusted_auto_session	terminal_focus	registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0027	claude	configured	trusted_auto_session	terminal_focus	not_registered	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0028	claude	configured	trusted_auto_session	terminal_focus	not_registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0029	claude	configured	trusted_auto_session	terminal_focus	needs_update	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0030	claude	configured	trusted_auto_session	terminal_focus	needs_update	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0031	claude	configured	trusted_auto_session	terminal_focus	agent_missing	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0032	claude	configured	trusted_auto_session	terminal_focus	agent_missing	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0033	claude	configured	trusted_auto_session	archived_session	registered	available	noAction	false	attention	Operator can keep working with Claude Code terminal as configured with no prior run on archived session visible only as archive/history; posture is trusted, auto-resume enabled, native session metadata present. Workbench surfaces: Usable with watch points: no active terminal agents remain after archive filtering.	Selected Ouro boss can answer status questions and keep moving only where the next action is clear.
WB-0034	claude	configured	trusted_auto_session	archived_session	registered	missing	noAction	false	attention	Operator can keep working with Claude Code terminal as configured with no prior run on archived session visible only as archive/history; posture is trusted, auto-resume enabled, native session metadata present. Workbench surfaces: Usable with watch points: no active terminal agents remain after archive filtering.	Selected Ouro boss can answer status questions and keep moving only where the next action is clear.
WB-0035	claude	configured	trusted_auto_session	archived_session	not_registered	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on archived session visible only as archive/history; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0036	claude	configured	trusted_auto_session	archived_session	not_registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on archived session visible only as archive/history; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0037	claude	configured	trusted_auto_session	archived_session	needs_update	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on archived session visible only as archive/history; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0038	claude	configured	trusted_auto_session	archived_session	needs_update	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on archived session visible only as archive/history; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0039	claude	configured	trusted_auto_session	archived_session	agent_missing	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on archived session visible only as archive/history; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0040	claude	configured	trusted_auto_session	archived_session	agent_missing	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on archived session visible only as archive/history; posture is trusted, auto-resume enabled, native session metadata present. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0041	claude	configured	trusted_auto_no_session	sidebar_dashboard	registered	available	noAction	false	ready	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Controls stay available and no human gate is invented.	Selected Ouro boss can inspect, summarize, and control the Claude Code terminal session through Workbench MCP.
WB-0042	claude	configured	trusted_auto_no_session	sidebar_dashboard	registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0043	claude	configured	trusted_auto_no_session	sidebar_dashboard	not_registered	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0044	claude	configured	trusted_auto_no_session	sidebar_dashboard	not_registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0045	claude	configured	trusted_auto_no_session	sidebar_dashboard	needs_update	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0046	claude	configured	trusted_auto_no_session	sidebar_dashboard	needs_update	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0047	claude	configured	trusted_auto_no_session	sidebar_dashboard	agent_missing	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0048	claude	configured	trusted_auto_no_session	sidebar_dashboard	agent_missing	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar visible with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0049	claude	configured	trusted_auto_no_session	sidebar_hidden_dashboard	registered	available	noAction	false	ready	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Controls stay available and no human gate is invented.	Selected Ouro boss can inspect, summarize, and control the Claude Code terminal session through Workbench MCP.
WB-0050	claude	configured	trusted_auto_no_session	sidebar_hidden_dashboard	registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0051	claude	configured	trusted_auto_no_session	sidebar_hidden_dashboard	not_registered	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0052	claude	configured	trusted_auto_no_session	sidebar_hidden_dashboard	not_registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0053	claude	configured	trusted_auto_no_session	sidebar_hidden_dashboard	needs_update	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0054	claude	configured	trusted_auto_no_session	sidebar_hidden_dashboard	needs_update	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0055	claude	configured	trusted_auto_no_session	sidebar_hidden_dashboard	agent_missing	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0056	claude	configured	trusted_auto_no_session	sidebar_hidden_dashboard	agent_missing	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on sidebar hidden with dashboard expanded; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0057	claude	configured	trusted_auto_no_session	boss_pane_collapsed	registered	available	noAction	false	attention	Operator can keep working with Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, no native session metadata. Workbench surfaces: Usable with watch points: boss watch is paused.	Selected Ouro boss can answer status questions and keep moving only where the next action is clear.
WB-0058	claude	configured	trusted_auto_no_session	boss_pane_collapsed	registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0059	claude	configured	trusted_auto_no_session	boss_pane_collapsed	not_registered	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0060	claude	configured	trusted_auto_no_session	boss_pane_collapsed	not_registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0061	claude	configured	trusted_auto_no_session	boss_pane_collapsed	needs_update	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0062	claude	configured	trusted_auto_no_session	boss_pane_collapsed	needs_update	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0063	claude	configured	trusted_auto_no_session	boss_pane_collapsed	agent_missing	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0064	claude	configured	trusted_auto_no_session	boss_pane_collapsed	agent_missing	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on boss pane collapsed so terminal gets more space; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0065	claude	configured	trusted_auto_no_session	terminal_focus	registered	available	noAction	false	ready	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, no native session metadata. Controls stay available and no human gate is invented.	Selected Ouro boss can inspect, summarize, and control the Claude Code terminal session through Workbench MCP.
WB-0066	claude	configured	trusted_auto_no_session	terminal_focus	registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0067	claude	configured	trusted_auto_no_session	terminal_focus	not_registered	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0068	claude	configured	trusted_auto_no_session	terminal_focus	not_registered	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is not_registered; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0069	claude	configured	trusted_auto_no_session	terminal_focus	needs_update	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0070	claude	configured	trusted_auto_no_session	terminal_focus	needs_update	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is needs_update; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0071	claude	configured	trusted_auto_no_session	terminal_focus	agent_missing	available	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
WB-0072	claude	configured	trusted_auto_no_session	terminal_focus	agent_missing	missing	noAction	false	blocked	Operator sees Claude Code terminal as configured with no prior run on terminal focus mode; posture is trusted, auto-resume enabled, no native session metadata. Workbench blocks hands-off autonomy and surfaces: Block human-free operation: boss bridge is agent_missing; executable is missing.	Selected Ouro boss reports the blocker, avoids unsafe terminal control, and asks only for the missing prerequisite.
